Designator,Manufacturer Part Number,Qty
"D2, D3, D4, D5, D6, D8, D9, D10, D11",CDBA5200-HF,9
J6,M20-9990246,1
"R1, R2, R3, R13, R19, R20",RC0603JR-070RL,6
"R14, R15, R24",RC1206JR-070RL,3
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11",GRM188R70J104KA01D,11
"C12, C13",LMK316B7106KL-TD,2
"R5, R8, R11, R17, R25, R40, R43, R46, R49",RC0603FR-0710KL,9
CON1,1776244-4,1
"R21, R22, R23",RC0603FR-073K9L,3
"R28, R29, R30, R31, R32, R33, R34, R35",RC0603FR-07300RL,8
"F1, F2, F3, F4, F5, F6, F7, F8",3544-2,8
"R4, R7, R10, R16, R39, R42, R45, R48",RC0603FR-0747RL,8
"R6, R9, R12, R18, R26, R41, R44, R47, R50",RC0603FR-0747KL,9
"U4, U6, U8, U12, U14, U16, U18, U20",ALQ105,8
U1,AT24C256C-SSHL-B,1
"T2, T3, T4, T5, T6, T7, T8, T9",BC817-25-7-F,8
U2,DMG2305UX-13,1
Q1,DMMT5401-7-F,1
"C14, C15",EEE-HA1C471UP,2
U$2,MCP3208T-CI/SL,1
"CN1, CN2, CN3, CN4, CN5, CN6, CN7, CN8",SDS-50J,8
"U3, U5, U7, U11, U13, U15, U17, U19",SFH615A-4X017T,8